#Time (s);Angle (degrees)
1.72552;149.20812
1.72749;150.10326
1.72946;150.99849
1.73142;151.89354
1.73337;152.78877
1.73531;153.68409
1.73725;154.57932
1.73918;155.47464
1.7411;156.37005
1.74302;157.26537
1.74493;158.16078
1.74683;159.05628
1.74873;159.95178
1.75061;160.84737
1.7525;161.74287
1.75437;162.63837
1.75624;163.53405
1.75811;164.42964
1.75996;165.32532
1.76181;166.221
1.76366;167.11668
1.76549;168.01245
1.76733;168.90831
1.76915;169.80408
1.77097;170.69994
1.77279;171.595854
1.7746;172.491696
1.7764;173.387583
1.7782;174.283488
1.77999;175.179519
1.78177;176.075505
1.78355;176.971437
1.78533;177.867513
1.7871;178.76349
1.78886;179.6595579
1.79062;180
1.79237;179.2041102
1.79434;178.312437
1.79632;177.420834
1.79831;176.52933
1.8003;175.637862
1.80231;174.746475
1.80431;173.855151
1.80633;172.96389
1.80836;172.072728
1.81039;171.181593
1.81243;170.29053
1.81448;169.39962
1.81654;168.50871
1.81861;167.6178
1.82069;166.72707
1.82277;165.83643
1.82487;164.94588
1.82697;164.05533
1.82908;163.16496
1.8312;162.27468
1.83333;161.3844
1.83547;160.4943
1.83762;159.6042
1.83978;158.71428
1.84195;157.82436
1.84413;156.93462
1.84632;156.04497
1.84852;155.15532
1.85073;154.26585
1.85295;153.37647
1.85518;152.48727
1.85742;151.59807
1.85968;150.70896
1.86194;149.82003
1.86422;148.93119
1.8665;148.04253
1.8688;147.15387
1.87111;146.26539
1.87344;145.377
1.87577;144.48879
1.87812;143.60067
1.88048;142.71273
1.88285;141.82488
1.88524;140.93712
1.88764;140.04954
1.89005;139.16214
1.89248;138.27483
1.89492;137.3877
1.89737;136.50075
1.89984;135.61389
1.90233;134.72721
1.90483;133.84071
1.90734;132.95439
1.90987;132.06816
1.91242;131.1822
1.91498;130.29642
1.91756;129.41082
1.92015;128.5254
1.92277;127.64016
1.9254;126.7551
1.92804;125.87031
1.93071;124.9857
1.93339;124.10127
1.9361;123.21711
1.93882;122.33313
1.94156;121.44942
1.94432;120.56598
1.94711;119.68272
1.94991;118.79982
1.95274;117.9171
1.95558;117.03474
1.95845;116.15256
1.96135;115.27074
1.96426;114.38919
1.9672;113.508
1.97017;112.62708
1.97316;111.74652
1.97618;110.86632
1.97922;109.98639
1.98229;109.10691
1.98539;108.22779
1.98852;107.34912
1.99168;106.47081
1.99487;105.59295
1.99809;104.71554
2.00134;103.83858
2.00463;102.96207
2.00795;102.0861
2.01131;101.21067
2.0147;100.33578
2.01813;99.46152
2.0216;98.5878
2.02512;97.71471
2.02867;96.84225
2.03227;95.9706
2.03591;95.09958
2.0396;94.22937
2.04334;93.35988
2.04713;92.49129
2.05097;91.6236
2.05486;90.7569
2.05882;89.8911
2.06283;89.0262
2.06691;88.1631
2.07105;87.3009
2.07526;86.4396
2.07954;85.5801
2.0839;84.7215
2.08833;83.8647
2.09286;83.0097
2.09747;82.1565
2.10217;81.306
2.10698;80.4564
2.11189;79.6104
2.11691;78.7662
2.12206;77.9247
2.12733;77.0868
2.13275;76.2516
2.13831;75.4209
2.14404;74.5938
2.14995;73.7721
2.15605;72.9558
2.16237;72.1458
2.16892;71.3421
2.17573;70.5474
2.18284;69.7617
2.19027;68.9877
2.19808;68.2281
2.20632;67.4847
2.21505;66.762
2.22436;66.0663
2.23435;65.4048
